"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J11";"PhoenixContact_MSTBVA_2,5_2-G-5,08_1x02_P5.08mm_Vertical_WallToWall";1;"+BED-";;;
2;"J1";"PhoenixContact_MSTBVA_2,5_2-G-5,08_1x02_P5.08mm_Vertical_WallToWall";1;"-24V IN+";;;
3;"J20";"PhoenixContact_MSTBVA_2,5_2-G-5,08_1x02_P5.08mm_Vertical_WallToWall";1;"+BT-";;;
4;"J21";"PhoenixContact_MSTBVA_2,5_2-G-5,08_1x02_P5.08mm_Vertical_WallToWall";1;"+NT-";;;
5;"J30";"PhoenixContact_MSTBVA_2,5_2-G-5,08_1x02_P5.08mm_Vertical_WallToWall";1;"+XM-";;;
6;"J31";"PhoenixContact_MSTBVA_2,5_2-G-5,08_1x02_P5.08mm_Vertical_WallToWall";1;"+YM-";;;
7;"J32";"PhoenixContact_MSTBVA_2,5_2-G-5,08_1x02_P5.08mm_Vertical_WallToWall";1;"+ZM-";;;
8;"J10";"PhoenixContact_MSTBVA_2,5_2-G-5,08_1x02_P5.08mm_Vertical_WallToWall";1;"+NOZ-";;;
9;"J12";"PhoenixContact_MSTBVA_2,5_2-G-5,08_1x02_P5.08mm_Vertical_WallToWall";1;"+FAN1-";;;
10;"J13";"PhoenixContact_MSTBVA_2,5_2-G-5,08_1x02_P5.08mm_Vertical_WallToWall";1;"+FAN2-";;;
11;"J14";"PhoenixContact_MSTBVA_2,5_2-G-5,08_1x02_P5.08mm_Vertical_WallToWall";1;"+FAN3-";;;
12;"U1";"MODULE_ESP32-DEVKITC-32D_LongPads";1;"ESP32-DEVKITC-32D";;;
13;"J60";"PinHeader_2x04_P2.54mm_Vertical";1;"BLTouch";;;
14;"J40";"PinHeader_2x05_P2.54mm_Vertical";1;"LCD";;;
15;"Q1";"TO-220-3_Vertical";1;"IRLZ44N";;;
16;"Q2";"TO-220-3_Vertical";1;"IRLB8743";;;
17;"JP15,JP2,JP3,JP4,JP5,JP6,JP7,JP10,JP11,JP12,JP13,JP14,JP16,JP17,JP18,JP19,JP20,JP21";"SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm";18;"SolderJumper_2_Open";;;
18;"A2";"Pololu_Breakout-16_15.2x20.3mm";1;"DRIVER_Y";;;
19;"R16,R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"100k";;;
20;"D2";"LED_D5.0mm";1;"NOZ";;;
21;"D3";"LED_D5.0mm";1;"BED";;;
22;"R17,R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"2.2k";;;
23;"R15,R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"10";;;
24;"C4,C2,C21,C23,C30,C160,C32,C170,C31,C8,C9,C10,C11";"C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";13;"0.1uF";;;
25;"R22,R20";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"4.7k";;;
26;"H3,H4,H1,H2";"MountingHole_3mm";4;"MountingHole";;;
27;"D1";"D_DO-35_SOD27_P10.16mm_Horizontal";1;"1N5819";;;
28;"U2";"Module_LM2596_DC-DC";1;"DcStepDown_LM2596";;;
29;"R30,R31,R32";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"10k";;;
30;"J6";"PhoenixContact_MCV_1,5_4-G-3.81_1x04_P3.81mm_Vertical";1;"MOT E";;;
31;"J25";"PhoenixContact_MCV_1,5_4-G-3.81_1x04_P3.81mm_Vertical";1;"MOT X";;;
32;"J26";"PhoenixContact_MCV_1,5_4-G-3.81_1x04_P3.81mm_Vertical";1;"MOT Y";;;
33;"J27";"PhoenixContact_MCV_1,5_4-G-3.81_1x04_P3.81mm_Vertical";1;"MOT Z";;;
34;"JP1";"SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm_NumberLabels";1;"Jumper_3_Open";;;
35;"U6";"WEMOS_D1_mini_light";1;"WeMos_D1_mini_SD_Shield";;;
36;"JP8,JP9,JP22,JP23,JP24,JP25,JP26,JP27";"SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels";8;"Jumper_3_Open";;;
37;"J5";"PinHeader_1x04_P2.54mm_Vertical";1;"MOT E";;;
38;"J23";"PinHeader_1x04_P2.54mm_Vertical";1;"MOT Y";;;
39;"J24";"PinHeader_1x04_P2.54mm_Vertical";1;"MOT Z";;;
40;"A3";"Pololu_Breakout-16_15.2x20.3mm";1;"DRIVER_Z";;;
41;"A4";"Pololu_Breakout-16_15.2x20.3mm";1;"DRIVER_E";;;
42;"C5,C6,C7,C110,C1";"CP_Radial_D6.3mm_P2.50mm";5;"100uF";;;
43;"C22,C20";"CP_Radial_D5.0mm_P2.00mm";2;"4.7uF";;;
44;"A1";"Pololu_Breakout-16_15.2x20.3mm";1;"DRIVER_X";;;
45;"C3";"CP_Radial_D7.5mm_P2.50mm";1;"100uF";;;
46;"F1";"Fuseholder_Blade_ATO_Littelfuse_Pudenz_2_Pin";1;"3A REM";;;
47;"F2";"Fuseholder_Blade_ATO_Littelfuse_Pudenz_2_Pin";1;"10A BED";;;
48;"J110";"PinHeader_1x04_P2.54mm_Vertical";1;"MOT X";;;
49;"U3,U4";"DIP-16_W7.62mm_Socket_LongPads";2;"74AHCT595";;;
50;"U5";"DIP-18_W7.62mm_Socket_LongPads";1;"ULN2803A";;;
